recipe_id,avg_rating_recipe,num_ratings_recipe
3230,5.0,1
3233,4.5,2
3237,5.0,1
3242,4.666666666666667,3
3243,5.0,1
3252,2.5,2
3254,5.0,1
3258,4.4,5
3259,3.0,2
3263,0.0,1
3264,4.0,1
3267,4.0,1
3271,5.0,1
3273,3.5,2
3278,4.0,3
3284,5.0,5
3285,4.294117647058823,17
3286,4.5,8
3292,5.0,1
3293,3.5,2
3294,4.538461538461538,39
3295,5.0,3
3296,4.0,2
3301,5.0,1
3304,5.0,1
3305,5.0,1
3308,5.0,2
3313,4.0,7
3320,5.0,1
3323,4.0,1
3324,5.0,1
3326,4.0,1
3330,5.0,2
3333,4.0,6
3339,3.0,1
3343,5.0,1
3344,5.0,1
3347,4.0,2
3351,4.777777777777778,9
3352,5.0,1
3357,5.0,3
3358,5.0,2
3359,5.0,2
3365,3.5,4
3368,4.730769230769231,26
3370,4.650793650793651,63
3371,4.5,2
3376,4.333333333333333,3
3378,4.6,5
3380,5.0,2
3381,4.0,5
3387,4.5,2
3389,4.5,2
3390,5.0,2
3392,4.0,1
3397,4.882352941176471,34
3400,4.5,14
3401,5.0,2
3402,4.666666666666667,3
3407,5.0,1
3408,4.3,10
3415,5.0,1
3418,5.0,1
3420,2.5,2
3425,5.0,2
3428,0.0,1
3431,4.875,8
3436,4.461538461538462,13
3439,4.631578947368421,19
3440,4.0,1
3441,4.642857142857143,28
3444,5.0,1
3446,5.0,3
3451,4.230769230769231,13
3456,4.0,1
3459,4.5,2
3463,4.0,1
3464,4.166666666666667,6
3470,4.472103004291846,233
3471,4.363636363636363,11
3472,4.166666666666667,12
3478,5.0,1
3479,4.333333333333333,3
3482,4.75,4
3495,4.0,1
3496,4.0,3
3497,5.0,2
3500,4.5,2
3503,4.714285714285714,7
3504,5.0,1
3506,4.0,1
3514,5.0,2
3516,4.0,2
3520,4.357142857142857,14
3525,5.0,4
3526,3.0,1
3549,5.0,3
3553,5.0,1
3555,4.5,2
3556,5.0,5
3557,5.0,1
3559,4.809523809523809,21
3560,5.0,4
3565,4.333333333333333,3
3566,5.0,1
3567,4.666666666666667,6
3568,4.818181818181818,11
